SPECIMEN	CC.Line	Generate	DOB	Sex	Label	Colour	WeekOld	Sample.	Resolution	Length	vBMD	Mean2	BMC	MaterProp	Dia.Dia	Med.Dia	Cort.Th	Po.V	Po.diam	Polar	Areal	MaterProp.1	BVTV	Conn.D	SMI	Tb.N3D	Tb.NPl	Tb.Th3D	Sp3D	Mean1	BVTVP	Conn.DP	SMIP	Tb.N3DP	Tb.Th3DP	Sp3DP	Mean1P	BVTVD	Conn.DD	SMID	Tb.N3DD	Tb.Th3DD	Sp3DD
CC#19_F1_FEMUR	IL-519	27	18/12/2012	F	B	A	11.1	292	150	14.74	478.4164	  972.093	503.3422	  972.093	1.279146072	0.90158131	0.1843	0	    0.000	0.20943	0.17362	789.1213	0.1361	101.0982	1.7472	3.2664	3.2392	0.0502	0.3058	113.4774	0.0249	4.4928	3.0085	2.1127	0.0397	0.473	42.7174	0.1853	141.5033	1.5599	4.2636	0.0507	0.2219
CC#19_F2_FEMUR	IL-519	27	18/12/2012	F	B	A	11.1	293	150	14.75	417.1519	  935.023	501.9727	  935.023	1.248249531	0.912041735	0.1604	1E-04	    0.000	0.1802	0.15513	815.7818	0.1259	113.0052	1.722	3.4184	3.2207	0.0463	0.3027	106.9036	0.0209	1.5601	3.184	2.2848	0.0368	0.4549	33.1306	0.181	167.3837	1.4832	4.629	0.0468	0.2065
CC#19_F3_FEMUR	IL-519	27	18/12/2012	F	B	A	11.1	294	150	14.35	486.844	  969.867	500.1465	  969.867	1.32229959	0.925491062	0.1919	1E-04	    0.010	0.23818	0.18845	837.9684	0.2382	145.8939	0.7013	4.4071	4.9549	0.0539	0.2198	189.3504	0.1046	60.3048	2.1602	3.0625	0.0482	0.3255	94.7603	0.2983	181.9584	0.3602	5.4725	0.0545	0.1646
CC#4141_M1_FEMUR	IL-4141	18	25/12/2012	M	A	A	10.1	295	150	13.95	496.8596	  924.158	438.7908	  924.158	1.580045137	1.062463513	0.2593	0.0002	    0.012	0.49908	0.33337	823.0861	0.1991	221.7715	1.5556	4.3676	4.6652	0.0534	0.219	166.4333	0.0972	93.9322	2.5438	3.341	0.0474	0.2915	94.5777	0.2559	286.6739	1.187	5.3325	0.0546	0.1706
CC#4141_M2_FEMUR	IL-4141	18	25/12/2012	M	A	A	10.1	296	150	15.68	504.3465	  934.110	581.4064	  934.110	1.513071895	1.025044131	0.2423	1E-04	0.01	0.41831	0.29157	797.0646	0.1547	158.7732	1.8953	3.8797	3.8108	0.0512	0.2557	125.3468	0.0582	40.0123	2.9198	2.8853	0.0423	0.3499	58.6955	0.2064	215.9731	1.5577	4.7117	0.0525	0.1998
CC#4141_F1_FEMUR	IL-4141	18	25/12/2012	F	A	A	10.1	297	150	15.54	538.8591	  971.545	562.6893	  971.545	1.3922434	0.916282792	0.2324	0.0015	0.0407	0.30286	0.23173	826.4643	0.0958	80.2655	2.3991	2.9216	2.5363	0.0476	0.3437	88.369	0.0319	21.5025	3.2621	2.0907	0.0398	0.4785	44.5435	0.1286	109.9477	2.1716	3.6752	0.0485	0.2696
CC#4141_F2_FEMUR	IL-4141	18	25/12/2012	F	A	A	10.1	298	150	15.54	529.5462	  959.493	584.9346	  959.493	1.425982894	0.941043872	0.2392	0.0002	    0.010	0.33739	0.25105	824.1817	0.0863	77.1437	2.5855	3.1261	2.341	0.0472	0.3154	68.5563	0.027	17.6211	3.1406	2.1793	0.038	0.4424	29.6611	0.1191	106.1079	2.4027	3.9863	0.0483	0.247
CC#2689_M1_FEMUR	IL-2689	19	18/12/2012	M	A	A	11.1	299	150	15.54	451.1168	  946.528	584.9346	  946.528	1.501045446	1.072090855	0.196	0.0107	0.1635	0.42802	0.21567	778.9866	0.0852	96.1453	2.7401	3.934	2.6746	0.0404	0.2519	70.7475	0.031	29.9155	3.0952	3.3566	0.0268	0.294	32.3089	0.1176	133.7599	2.3892	4.4425	0.0425	0.2214
CC#2689_M2_FEMUR	IL-2689	19	18/12/2012	M	A	A	11.1	300	150	14.68	437.2386	  977.388	441.4386	  977.388	1.545916522	1.138265593	0.1953	0.0104	0.133	0.42702	0.27813	762.8259	0.0987	146.0754	2.4203	4.4579	3.2278	0.0373	0.2228	82.343	0.0398	51.4548	3.1205	3.6931	0.0286	0.2683	41.8957	0.1324	191.9039	2.0753	5.0616	0.0388	0.1944
CC#2689_F1_FEMUR	IL-2689	19	18/12/2012	F	A	A	11.1	301	150	14.68	426.6542	  962.908	460.0407	  962.908	1.289155297	0.947301025	0.1645	0.0028	0.0597	0.19407	0.15463	759.5792	0.0428	65.0352	2.621	2.5551	1.5908	0.0323	0.3868	42.0975	0.0161	11.0766	3.1076	1.8091	0.0304	0.5421	38.8059	0.0572	89.4874	2.5042	3.1954	0.0326	0.3094
CC#2689_F2_FEMUR	IL-2689	19	18/12/2012	F	A	A	11.1	302	150	14.68	385.561	  909.367	460.0407	  909.367	1.348349366	1.012464892	0.1609	0.0005	0.0102	0.23005	0.16975	708.2266	0.0508	64.9911	2.7251	3.1946	1.8642	0.0327	0.3123	41.4392	0.022	19.0286	2.9805	2.5935	0.0281	0.3836	31.3958	0.0672	88.1012	2.6071	3.7391	0.0335	0.2662
CC#2689_F3_FEMUR	IL-2689	19	18/12/2012	F	A	A	11.1	303	150	15.28	418.5215	  919.319	611.6278	  919.319	1.41184991	1.040773051	0.1827	1E-04	    0.010	0.28377	0.20266	763.6476	0.0652	78.2814	2.6957	3.2728	2.1089	0.0397	0.3032	63.8085	0.0287	37.3752	2.8541	2.7394	0.0282	0.36	46.7348	0.0862	98.0013	2.5097	3.6872	0.042	0.2699
CC#2689_F4_FEMUR	IL-2689	19	18/12/2012	F	A	A	11.1	304	150	15.43	452.2349	 1136.800	545.0677	 1136.800	1.353674119	1.016355864	0.1611	0	    0.000	0.23236	0.17427	731.8354	0.0483	59.6182	2.7746	3.2243	1.7532	0.0333	0.3126	29.9655	0.0166	10.8953	3.076	2.5765	0.0257	0.3918	1.8455	0.0653	86.257	2.6554	3.6887	0.0344	0.2714
CC#111_30_M1_FEMUR	IL-111	30	23/12/2012	M	A	B	11	305	150	15.43	518.955	  947.167	566.7836	  947.167	1.479571451	0.989293203	0.2473	0.0002	    0.010	0.40088	0.28211	795.969	0.1395	145.6938	2.2135	4.4758	3.7129	0.0463	0.2181	120.1426	0.0759	60.3447	3.201	4.0318	0.0435	0.2453	80.8822	0.1771	188.6675	1.7818	4.843	0.047	0.1985
CC#111_30_F1_FEMUR	IL-111	30	23/12/2012	F	A	B	11	306	150	15.43	454.5862	  954.927	566.7836	  954.927	1.378448053	0.986283434	0.1916	1E-04	    0.010	0.27029	0.20513	720.7352	0.1329	207.8187	2.0221	4.4848	3.911	0.0433	0.2182	103.4341	0.0689	97.5064	2.5359	3.8361	0.0364	0.2561	61.3433	0.1718	264.9229	1.7573	5.0715	0.045	0.1913
CC#111_30_F2_FEMUR	IL-111	30	23/12/2012	F	A	B	11	307	150	15.46	484.2598	  952.097	628.3363	  952.097	1.337612477	0.927943518	0.2026	1E-04	    0.000	0.25055	0.20013	793.5951	0.1178	158.7865	2.4407	4.2944	3.4928	0.044	0.221	98.6863	0.0795	107.6245	2.654	3.9275	0.0401	0.2435	75.8605	0.1404	179.5059	2.315	4.6284	0.0453	0.2027
CC#111_30_F3_FEMUR	IL-111	30	23/12/2012	F	A	B	11	308	150	13.98	449.108	  923.154	486.0859	  923.154	1.36947768	0.978350939	0.1893	0.0009	0.0123	0.26231	0.19304	792.8647	0.1069	143.8708	2.4671	4.1599	3.2452	0.0443	0.2261	109.6427	0.0766	81.0748	2.6304	3.6169	0.0419	0.2582	94.0299	0.1249	172.4251	2.3963	4.5851	0.0451	0.2053
CC#111_30_F4_FEMUR	IL-111	30	23/12/2012	F	A	B	11	309	150	13.28	444.8168	  922.241	459.1514	  922.241	1.352535538	0.965070979	0.1892	0.0003	0.0151	0.2529	0.19437	806.9254	0.1328	158.0172	2.1866	4.2867	3.6499	0.0462	0.2211	114.3905	0.0896	95.0537	2.5607	3.7863	0.0434	0.2537	92.2038	0.1587	187.8173	1.9931	4.7076	0.047	0.1993
CC#111_30_F5_FEMUR	IL-111	30	23/12/2012	F	A	B	11	310	150	14.66	472.6643	  932.650	523.155	  932.650	1.365156934	0.9539243	0.203	1E-04	    0.010	0.26929	0.20778	795.969	0.1126	132.8133	2.3524	4.1336	3.3449	0.0439	0.2325	97.0429	0.0658	85.311	2.7387	3.6785	0.039	0.2617	71.8432	0.1398	152.5335	2.1268	4.5148	0.0452	0.2106
CC#19_27_F1_Femur	IL-519	27	24/12/2012	F	B	A	10.85714286	314	150	14.66	474.399	  987.157	544.2125	  987.157	1.314907946	0.933484018	0.1845	1E-04	    0.010	0.23132	0.1908	831.212	0.2604	125.7239	0.6331	4.5175	4.8652	0.06	0.2111	218.5674	0.1064	48.5825	2.297	3.5542	0.0511	0.2785	113.1122	0.3289	157.4617	0.1702	5.137	0.061	0.1759
CC#2126_F1_FEMUR	IL-2126	19	24/12/2012	F	A	A	10.85714286	315	150	14.66	589.989	  963.419	544.2125	  963.419	1.258271795	0.754454597	0.231	0.0005	0.01	0.26082	0.14487	771.4084	0.0079	2.8943	3.4327	1.7747	0.2147	0.0389	0.5328	16.0569	0	2.0304	0	    0.000	0	0	36.4175	0.011	4.0486	3.4327	1.7747	0.0389	0.5328
CC#2750_M2_FEMUR	IL-2750	20	24/12/2012	M	A	A	10.85714286	316	150	15.12	594.3715	  967.162	557.3937	  967.162	1.411155335	0.859236842	0.2639	0.0015	0.0296	0.34628	0.25747	788.0256	0.0906	96.4733	2.0616	2.2136	2.285	0.0472	0.4678	75.4953	0.0042	-2.1658	3.3332	1.2265	0.0324	0.8212	20.2568	0.128	138.3145	2.0069	3.3448	0.0474	0.2959
CC#2750_M3_FEMUR	IL-2750	20	24/12/2012	M	A	A	10.85714286	317	150	15.21	574.9239	 1108.865	534.3853	 1108.865	1.1701243	0.783252839	0.1964	0	    0.000	0.15074	0.13137	757.5303	0.1215	179.0907	2.3259	4.3894	3.5362	0.0424	0.2272	103.8906	0.0327	6.7911	3.5712	3.4154	0.033	0.2956	40.6175	0.1606	253.2725	2.0302	5.032	0.0433	0.1931
CC#188_M1_FEMUR	IL-188	28	24/12/2012	M	A	A	10.85714286	319	150	14.97	564.0588	  933.197	559.0372	  933.197	1.228172174	0.762236623	0.232	0	    0.000	0.19772	0.16935	799.9863	0.0433	31.4851	2.3211	1.4515	1.0531	0.0465	0.7139	51.6651	0	0	0	    0.000	0.01	0	42.9913	0.0609	44.3316	2.3211	1.8055	0.0465	0.5674
CC#188_M2_FEMUR	IL-188	28	24/12/2012	M	A	A	10.85714286	320	150	14.69	569.2631	  967.162	555.5676	  967.162	1.325939149	0.842499603	0.2377	1E-04	    0.010	0.25895	0.19301	820.347	0.0733	45.3736	2.3623	1.859	1.6507	0.05	0.5608	85.9039	0.0017	-1.5726	5.0646	1.0732	0.0409	0.9411	50.5695	0.1079	67.3208	2.3466	3.2133	0.05	0.3175
CC#188_M3_FEMUR	IL-188	28	24/12/2012	M	A	A	10.85714286	321	150	15.69	579.4891	  994.370	484.0772	  994.370	1.26216158	0.802126012	0.2241	0.0127	0.1165	0.21266	0.17081	836.0511	0.0565	43.7289	2.3228	2.0725	1.3149	0.0486	0.5049	67.7345	0	-1.9525	2.079	    0.000	0.01	0	46.9174	0.0812	62.8933	2.3225	2.0731	0.0486	0.5048
CC#4052_M1_FEMUR	IL-4052	15	31/12/2012	M	A	W	10.42857143	322	150	15.84	447.8298	  925.163	467.3687	  925.163	1.615076816	1.156090401	0.2283	1E-04	    0.010	0.50176	0.31455	828.0164	0.2414	197.3656	1.4329	3.9718	4.6081	0.066	0.2431	202.2242	0.1015	61.779	2.6619	2.833	0.057	0.3407	95.1255	0.341	285.8551	0.9388	5.6214	0.0675	0.1515
CC#4052_F1_FEMUR	IL-4052	15	31/12/2012	F	A	W	10.42857143	323	150	14.06	433.0387	  971.727	471.1382	  971.727	1.487822595	1.098423655	0.1927	0	    0.010	0.35247	0.2502	822.2643	0.0732	67.2506	2.6172	2.6812	1.9704	0.0486	0.3837	69.8345	0.0167	3.8458	3.2882	1.9219	0.0421	0.5362	37.0566	0.1076	105.2137	2.4896	3.5421	0.0492	0.2779
CC#4052_F2_FEMUR	IL-4052	15	31/12/2012	F	A	W	10.42857143	324	150	14.06	433.3126	  909.185	471.1382	  909.185	1.388828038	0.995739473	0.1958	1E-04	    0.010	0.27981	0.21272	811.0341	0.0384	33.246	3.2404	2.171	1.1553	0.0408	0.4598	39.6131	0.003	-2.3075	3.8859	1.3864	0.0285	0.7201	20.0742	0.0584	51.9626	3.1598	2.8516	0.0412	0.3484
CC#4052_F3_FEMUR	IL-4052	15	31/12/2012	F	A	W	10.42857143	325	150	15	468.5557	  943.697	436.9647	  943.697	1.476116627	1.045904626	0.2143	0	    0.000	0.37494	0.26863	785.0126	0.0532	46.9579	2.7093	2.3235	1.4974	0.0466	0.4386	62.0737	0.0047	0	4.042	1.4233	0.0374	0.7073	33.861	0.0817	73.3856	2.6479	3.2951	0.0469	0.2977
CC#2156_M1_FEMUR	IL-2156	20	28/12/2012	M	A	B	10.71428571	326	150	15.42	483.9859	 1017.835	453.7645	 1017.835	1.35411612	0.963585598	0.1909	0	    0.000	0.24879	0.1816	752.5087	0.0579	80.5979	2.8969	3.5593	2.0892	0.0339	0.2855	52.8521	0.01	0.4495	3.6094	2.5753	0.0226	0.3975	21.3525	0.0843	124.976	2.6899	4.4599	0.0347	0.2233
CC#3348_M1_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	327	150	14.3	519.868	  982.957	476.781	  982.957	1.315396852	0.894470941	0.2023	1E-04	    0.000	0.25148	0.20477	765.6563	0.1285	178.644	2.0023	3.8705	3.5393	0.0429	0.2617	106.721	0.0278	9.9979	4.057	2.7373	0.0363	0.3676	39.3392	0.177	257.017	1.7175	4.8809	0.0433	0.2011
CC#3348_M2_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	328	150	15.46	501.4248	  959.036	549.9981	  959.036	1.33771242	0.916366163	0.2051	1E-04	    0.010	0.26748	0.21078	765.7476	0.1308	167.7527	2.0328	3.7535	3.4727	0.0452	0.2679	105.2601	0.0371	12.8834	3.5174	2.6612	0.0391	0.3778	42.6261	0.1749	235.1178	1.7956	4.6971	0.0457	0.2087
CC#3348_M3_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	329	150	15.22	515.2116	  946.710	519.6854	  946.710	1.352883801	0.902569329	0.216	0.0002	0.0234	0.28426	0.22695	782.9127	0.1496	170.1966	1.7798	3.6407	3.8241	0.0487	0.2809	115.5774	0.0514	30.8557	3.2137	2.492	0.0446	0.404	42.2609	0.1971	232.8946	1.5578	4.8702	0.0491	0.2009
CC#3348_M4_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	330	150	15.58	488.0945	  919.958	543.0591	  919.958	1.280513992	0.860924466	0.2023	0.0005	0.0205	0.23049	0.19259	776.7953	0.157	179.0896	1.8655	4.0736	4.0419	0.049	0.2486	119.96	0.0578	37.4058	3.2362	2.8908	0.0465	0.3488	50.3869	0.1998	236.0004	1.6358	5.1008	0.0492	0.1905
CC#3348_M5_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	331	150	15.1	500.6944	  946.254	539.4069	  946.254	1.224257596	0.831187409	0.1932	0	    0.000	0.18398	0.16122	774.1475	0.1538	194.3124	2.0191	4.0833	3.8275	0.0507	0.2488	124.5251	0.0439	23.8325	3.5543	2.8052	0.0415	0.3575	52.213	0.2072	271.3116	1.7442	5.0841	0.0516	0.1917
CC#3348_M6_FEMUR	IL-3348	20	01/01/2013	M	A	A	10.42857143	332	150	15.01	462.6209	  895.124	540.9591	  895.124	1.201948938	0.823917712	0.1888	1E-04	    0.010	0.16708	0.15323	757.8043	0.1072	142.4606	2.3859	3.1973	2.8847	0.0453	0.3211	80.6083	0.0182	6.8949	3.5812	2.1621	0.0344	0.4636	16.1482	0.1599	213.8055	2.1975	4.5028	0.046	0.2215
CC#2126_20_M1_FEMUR	IL-2126	19	01/01/2013	M	A	A	10.42857143	333	150	15.36	578.5395	 1032.032	530.1853	 1032.032	1.219855642	0.788494052	0.2125	1E-04	    0.000	0.19625	0.16283	799.8312	0.0105	6.1226	3.2673	0.9621	0.2916	0.0414	1.0375	6.9241	0	0	4.4671	    0.000	0.01	0	17.5513	0.0146	8.48	3.2614	1.1096	0.0414	0.8986
CC#2126_20_M2_FEMUR	IL-2126	19	01/01/2013	M	A	A	10.42857143	334	150	14.28	518.0675	  977.297	536.3026	  977.297	1.333240988	0.902463521	0.2078	1E-04	    0.000	0.26217	0.20925	822.3083	0.0203	13.7945	3.0045	1.2783	0.5448	0.044	0.7939	32.4107	0	1.4131	0	    0.000	0	0	32.5988	0.029	19.7166	3.0045	1.3642	0.044	0.7429
CC#2126_F1_FEMUR	IL-2126	19	01/01/2013	F	A	A	10.42857143	335	150	14.28	612.0201	 1173.854	557.7551	 1173.854	1.31435105	0.875995857	0.2128	0	    0.000	0.24668	0.19347	817.7	0.0255	17.6568	3.3277	1.7967	0.6739	0.0485	0.5708	9.5574	0	-1.2823	3.6445	    1.449	0.01	0.689	-10.4746	0.0371	25.6994	3.3157	2.0762	0.0485	0.4989
