from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
961	980	JAX00242837	JAX00242870	20	15699075	15806842	chr1	3.04904129432418	0	1
981	1000	JAX00242872	JAX00000962	20	15807212	15897608	chr1	2.87201435889833	0	2
1001	1020	JAX00242913	JAX00242956	20	15914927	16229368	chr1	2.87525546496592	0	2
1021	1040	JAX00242961	JAX00243012	20	16235840	16616526	chr1	2.58594759092396	0	2
1041	1060	JAX00243014	JAX00001042	20	16629188	16987502	chr1	2.60007355097414	0	2
1061	1080	JAX00001043	UNC187637	20	17003453	17311417	chr1	2.8018454601902	0	2
1081	1100	JAX00243118	JAX00243212	20	17315373	17739246	chr1	2.1845172524507	0	2
1101	1120	JAX00243213	JAX00243269	20	17742752	18123873	chr1	1.72303181166636	0	2
1121	1140	JAX00243271	JAX00190945	20	18135997	18454027	chr1	1.95191681808746	0	2
1141	1160	JAX00243329	JAX00190952	20	18457577	18719231	chr1	2.1435739569189	0	2
1161	1180	JAX00243387	JAX00243430	20	18749697	18966677	chr1	2.15682000172267	0	2
1181	1200	JAX00243437	JAX00243486	20	19019130	19443012	chr1	2.25549745514878	0	2
1201	1220	JAX00001227	UNC222054	20	19445165	19707165	chr1	2.8049758845256	0	2
1221	1240	JAX00001247	JAX00243588	20	19722593	19863627	chr1	2.81675893104194	0	2
1241	1260	JAX00001257	JAX00001274	20	19867877	20064029	chr1	2.82450379247704	0	2
1261	1280	UNC227355	JAX00001294	20	20074019	20341218	chr1	2.83597358815309	0	2
1281	1300	JAX00243693	JAX00243731	20	20367232	20541966	chr1	2.84809637562189	0	2
1301	1320	JAX00243741	JAX00243797	20	20561596	20793448	chr1	2.85888318172942	0	2
1321	1340	JAX00243802	UNC241230	20	20806285	20938029	chr1	2.86775901010548	0	2
1341	1360	JAX00243846	UNC244201	20	20942963	21116072	chr1	2.8759348809186	0	2
1361	1380	JAX00243889	JAX00001366	20	21117333	21306616	chr1	2.87452787155481	0	2
1381	1400	JAX00243950	JAX00243994	20	21377571	21589062	chr1	2.20331600826315	0	2
1401	1420	JAX00001388	JAX00244053	20	21589916	21719729	chr1	2.19935627835335	0	2
1421	1440	JAX00244057	JAX00244094	20	21724793	21983887	chr1	2.20470291532893	0	2
1441	1460	JAX00244096	JAX00244129	20	21999637	22262727	chr1	2.20177193076261	0	2
1461	1480	JAX00244130	UNC264385	20	22262996	22421498	chr1	2.20113738502883	0	2
1481	1500	UNC264416	JAX00244210	20	22475222	22680881	chr1	2.19918173224772	0	2
1501	1520	JAX00001469	JAX00001477	20	22718471	22819589	chr1	2.28751252163355	0	2
1521	1540	JAX00244248	JAX00244290	20	22841527	23075605	chr1	2.44131019002587	0	2
1541	1560	JAX00244291	JAX00244326	20	23075817	23270174	chr1	2.45045789541943	0	2
1561	1580	UNC276290	JAX00244359	20	23293039	23484110	chr1	2.4550011054615	0	2
1581	1600	UNC278894	JAX00244396	20	23484917	23658640	chr1	2.97353224746067	0	1
1601	1620	JAX00001539	UNC283190	20	23682723	23784570	chr1	2.97370431066912	0	1
1621	1640	JAX00244437	JAX00244469	20	23816672	23958732	chr1	2.96055303665355	0	1
1641	1660	JAX00001563	JAX00001575	20	23973025	24147946	chr1	3.57918891403263	0	0
1661	1680	JAX00001577	JAX00244590	20	24149191	24326205	chr1	3.7291968077145	0	0
1681	1700	JAX00244591	JAX00244642	20	24326238	24515849	chr1	3.74525907546974	0	0
1701	1720	UNC295267	JAX00001615	20	24516479	24672104	chr1	3.72373189038667	0	0
1721	1740	UNC298468	JAX00244724	20	24739294	24935351	chr1	3.68375869445	0	0
1741	1760	JAX00244725	UNC304098	20	24935730	25133192	chr1	3.70741943997821	0	0
1761	1780	JAX00001646	JAX00191084	20	25133724	25360787	chr1	3.73259078772419	0	0
1781	1800	JAX00244799	JAX00244845	20	25360850	25501465	chr1	3.75422902815934	0	0
1801	1820	JAX00244848	JAX00001692	20	25508556	25754788	chr1	3.77745351958058	0	0
1821	1840	UNC311195	JAX00188692	20	25757843	25997237	chr1	3.72784690270693	0	0
1841	1860	UNC315252	JAX00245023	20	25997697	26170765	chr1	3.78586471997958	0	0
1861	1880	JAX00001724	JAX00245052	20	26171240	26420298	chr1	3.86990392945033	0	0
1881	1900	JAX00001743	JAX00245090	20	26435495	26690674	chr1	3.84247157334281	0	0
1901	1920	JAX00245093	JAX00245137	20	26692385	26908686	chr1	4.28109907584692	0	0
1921	1940	JAX00001781	JAX00245186	20	26937623	27403088	chr1	4.41278135632503	0	0
1941	1960	UNC337071	UNC340151	20	27421620	27730678	chr1	4.40857953470081	0	0
1961	1980	JAX00001840	JAX00245257	20	27739870	28023650	chr1	4.41487733480421	0	0
1981	2000	JAX00245264	JAX00001905	20	28047832	28616227	chr1	4.33352882896525	0	0
2001	2020	JAX00001906	JAX00001932	20	28616775	28958204	chr1	4.11966852647211	0	0
2021	2040	JAX00001933	JAX00245405	20	28961078	29342614	chr1	3.76917326640806	0	0
2041	2060	JAX00001962	JAX00001993	20	29354689	29771557	chr1	3.74251884629838	0	0
2061	2080	JAX00245460	JAX00245507	20	29808891	30134369	chr1	3.77001336822982	0	0
2081	2100	JAX00002024	UNC369354	20	30183383	30480686	chr1	3.82981141812148	0	0
2101	2120	JAX00002048	UNC372374	20	30487284	30815119	chr1	3.81559950878044	0	0
2121	2140	JAX00245580	JAX00191216	20	30816013	31043591	chr1	3.83671596723629	0	0
2141	2160	JAX00245613	JAX00245656	20	31054582	31179916	chr1	3.82886043942686	0	0
2161	2180	JAX00245662	UNC379621	20	31191703	31507899	chr1	3.88744896445222	0	0
2181	2200	JAX00002126	UNC382234	20	31533135	31785145	chr1	3.97815599671139	0	0
2201	2220	JAX00002145	JAX00002174	20	31812815	32182924	chr1	3.9364367432776	0	0
2221	2240	JAX00245759	JAX00002190	20	32184323	32400679	chr1	3.95077063970594	0	0
2241	2260	JAX00245800	JAX00002212	20	32401169	32687559	chr1	3.96915375840972	0	0
2261	2280	JAX00245853	JAX00245900	20	32690758	32888822	chr1	3.93494445676336	0	0
2281	2300	JAX00002227	JAX00245967	20	32894034	33114127	chr1	4.02776874362194	0	0
2301	2320	JAX00245968	JAX00191270	20	33114651	33438664	chr1	4.00293557543243	0	0
2321	2340	UNC402209	JAX00246101	20	33449127	33634142	chr1	4.15533875654464	0	0
2341	2360	UNC405147	JAX00246130	20	33635103	33796877	chr1	4.1760441096564	0	0
2361	2380	JAX00246131	JAX00246154	20	33796991	33928037	chr1	4.1998382000602	0	0
2381	2400	JAX00246156	UNC411848	20	33928244	34023753	chr1	4.18226594307341	0	0
2401	2420	JAX00246197	JAX00246235	20	34024549	34171396	chr1	4.14802713903113	0	0
2421	2440	UNC010442447	JAX00246283	20	34175860	34280536	chr1	3.05506674797505	0	1
2441	2460	UNC416870	backupUNC010066723	20	34282653	34470337	chr1	3.05697472586221	0	1
2461	2480	UNC420525	JAX00246371	20	34485225	34628608	chr1	3.27105792279109	0	1
2481	2500	JAX00246377	JAX00246447	20	34631803	34837777	chr1	3.25606462292297	0	1
2501	2520	JAX00246451	JAX00002382	20	34843964	34955879	chr1	3.24996659978289	0	1
2521	2540	JAX00191306	JAX00246533	20	34994936	35082450	chr1	3.23407509859173	0	1
2541	2560	JAX00002392	JAX00246597	20	35088571	35307891	chr1	3.10820166752234	0	1
2561	2580	JAX00002409	UNC438077	20	35336368	35522229	chr1	2.99057832227932	0	1
2581	2600	JAX00246653	JAX00191323	20	35530512	35671399	chr1	2.84005634900229	0	2
2601	2620	JAX00246694	JAX00246726	20	35671927	35785031	chr1	2.83819053718465	0	2
2621	2640	JAX00246728	JAX00246786	20	35801059	35951468	chr1	2.83598369952255	0	2
2641	2660	UNC444874	JAX00246818	20	35958094	36024942	chr1	2.83464252720334	0	2
2661	2680	JAX00246826	JAX00246874	20	36056784	36150503	chr1	2.83304545811644	0	2
2681	2700	JAX00246883	JAX00246944	20	36174383	36283703	chr1	2.83129733821885	0	2
2701	2720	JAX00246949	JAX00002492	20	36286529	36413149	chr1	2.82963483144905	0	2
2721	2740	JAX00246997	UNC455417	20	36417246	36647586	chr1	2.82645219572571	0	2
2741	2760	JAX00002508	JAX00247109	20	36652368	36810625	chr1	2.82418361173983	0	2
2761	2780	JAX00247110	JAX00247157	20	36811477	36956303	chr1	2.81877585074968	0	2
2781	2800	JAX00247158	UNC010549141	20	36958242	37112093	chr1	2.81402772363316	0	2
2801	2820	JAX00247223	backupUNC011221975	20	37121793	37250990	chr1	2.75650810009328	0	2
2821	2840	JAX00247266	JAX00247306	20	37269751	37425825	chr1	2.73456963346832	0	2
2841	2860	JAX00002568	JAX00247377	20	37446591	37622959	chr1	2.59997323584608	0	2
2861	2880	JAX00247379	JAX00002600	20	37631859	37861899	chr1	2.49677753433481	0	2
2881	2900	UNC471090	UNC472864	20	37876846	38063892	chr1	2.41343198337922	0	2
2901	2920	JAX00247464	UNC474803	20	38094347	38274756	chr1	2.46691488929702	0	2
2921	2940	JAX00247489	JAX00247542	20	38291662	38444318	chr1	2.42864967744152	0	2
2941	2960	UNC477390	JAX00247590	20	38448656	38574096	chr1	2.36190193939298	0	2
2961	2980	JAX00002653	JAX00247624	20	38574132	38727305	chr1	2.11555740289857	0	2
2981	3000	JAX00247627	JAX00247693	20	38728044	38897303	chr1	2.10803052013325	0	2
3001	3020	JAX00247694	JAX00247743	20	38897379	39014248	chr1	2.12921659030594	0	2
3021	3040	JAX00247747	JAX00247809	20	39025971	39158797	chr1	2.05418053530887	0	2
3041	3060	JAX00247810	JAX00002705	20	39158968	39253760	chr1	2.11163452827553	0	2
3061	3080	JAX00247841	JAX00247885	20	39256990	39358523	chr1	2.1730534164818	0	2
3081	3100	JAX00247887	JAX00247934	20	39361798	39562995	chr1	2.29211157662266	0	2
3101	3120	JAX00247950	JAX00002743	20	39609857	39771752	chr1	2.17105251748217	0	2
3121	3140	JAX00247989	JAX00248043	20	39785840	39968612	chr1	2.09372797255854	0	2
3141	3160	JAX00248046	JAX00248086	20	39970561	40041888	chr1	1.94875543243784	0	2
3161	3180	JAX00248087	JAX00248130	20	40047425	40147127	chr1	2.11689516738889	0	2
3181	3200	JAX00248135	UNC505877	20	40151868	40243208	chr1	1.99185067880077	0	2
3201	3220	UNC506099	UNC507882	20	40260652	40381054	chr1	1.93025648386735	0	2
3221	3240	JAX00248203	UNC509809	20	40383296	40515533	chr1	1.91471394302874	0	2
3241	3260	JAX00248254	JAX00191431	20	40520266	40598345	chr1	1.91332864327285	0	2
3261	3280	UNC511312	JAX00248308	20	40606794	40760210	chr1	2.31107812314439	0	2
3281	3300	JAX00248311	JAX00248338	20	40770555	40898765	chr1	2.17703006487396	0	2
3301	3320	UNC516206	JAX00248375	20	40913405	41051883	chr1	1.76125720212765	0	2
3321	3340	JAX00248376	UNC521141	20	41063214	41212779	chr1	1.76565053607301	0	2
3341	3360	JAX00248403	JAX00002859	20	41228061	41346976	chr1	1.76996556545323	0	2
3361	3380	JAX00248421	JAX00248455	20	41347207	41547584	chr1	1.77542220119124	0	2
3381	3400	UNC525955	UNC528903	20	41548410	41759137	chr1	1.93326100919758	0	2
3401	3420	JAX00248499	UNC531436	20	41762931	41937573	chr1	2.15571057662626	0	2
3421	3440	JAX00002906	JAX00248573	20	41939362	42089211	chr1	2.16070790961252	0	2
3441	3460	JAX00002917	JAX00248608	20	42101007	42208884	chr1	2.16628505982117	0	2
3461	3480	UNC534913	JAX00248648	20	42213016	42344217	chr1	2.12455425703357	0	2
3481	3500	JAX00248649	JAX00248682	20	42345485	42454337	chr1	2.11276419582191	0	2
3501	3520	JAX00248683	JAX00248708	20	42455034	42524408	chr1	2.12090957789577	0	2
3521	3540	JAX00248709	UNC540376	20	42524866	42589977	chr1	2.0938573454868	0	2
3541	3560	JAX00248739	JAX00248774	20	42595382	42725134	chr1	2.08941689597584	0	2
3561	3580	UNC542228	JAX00002976	20	42734067	42885851	chr1	2.48492056371643	0	2
3581	3600	UNC544289	JAX00248845	20	42888308	43104453	chr1	2.47508835164658	0	2
3601	3620	JAX00248847	JAX00248890	20	43104849	43231237	chr1	2.61354281146345	0	2
3621	3640	JAX00248892	JAX00248931	20	43235709	43356461	chr1	2.59853974969658	0	2
3641	3660	UNC551425	JAX00003026	20	43356856	43532287	chr1	2.13072416015136	0	2
3661	3680	JAX00248974	JAX00248999	20	43533090	43637287	chr1	2.10737436823999	0	2
3681	3700	JAX00191503	JAX00249030	20	43637537	43803125	chr1	1.87553939198769	0	2
3701	3720	JAX00249032	JAX00249075	20	43805664	43944320	chr1	1.79511429470259	0	2
3721	3740	JAX00249078	JAX00249129	20	43972191	44198371	chr1	2.10941820430579	0	2
3741	3760	JAX00249132	JAX00249198	20	44199078	44494273	chr1	2.10756303288712	0	2
3761	3780	JAX00003096	JAX00249258	20	44494304	44773444	chr1	2.15316162139012	0	2
3781	3800	JAX00003119	JAX00249311	20	44790378	45131665	chr1	1.78751132825466	0	2
3801	3820	JAX00003146	JAX00249353	20	45132465	45443542	chr1	1.32182159494809	0	2
3821	3840	JAX00003170	JAX00249395	20	45452838	45634814	chr1	1.38640853721993	0	2
3841	3860	JAX00249407	JAX00249451	20	45654482	45823058	chr1	1.32250361897902	0	2
3861	3880	UNC587430	JAX00249514	20	45826741	46047106	chr1	1.30208375047167	0	2
3881	3900	JAX00249515	JAX00249568	20	46047648	46293847	chr1	1.31399079032812	0	2
3901	3920	JAX00249577	JAX00249654	20	46400951	46793985	chr1	1.27045120615076	0	2
3921	3940	JAX00003270	JAX00249700	20	46794109	46932264	chr1	1.458140777249	0	2
3941	3960	JAX00249706	JAX00249750	20	46941482	47159494	chr1	1.29226659052725	0	2
3961	3980	UNC600255	UNC604430	20	47159621	47538062	chr1	1.7411583773266	0	2
3981	4000	JAX00003327	JAX00249864	20	47570342	47790418	chr1	2.22211471584927	0	2
4001	4020	UNC010715287	JAX00003375	20	47791233	48199497	chr1	1.7197570317321	0	2
4021	4040	UNC612760	JAX00003403	20	48215087	48572882	chr1	1.56155393310645	0	2
4041	4060	JAX00003405	JAX00250030	20	48599813	49079852	chr1	2.02384596116871	0	2
4061	4080	JAX00003441	JAX00003475	20	49091078	49537498	chr1	2.10210967709817	0	2
4081	4100	JAX00250074	JAX00250111	20	49539906	49892767	chr1	2.11219811180155	0	2
4101	4120	JAX00250113	JAX00003529	20	49926993	50292237	chr1	1.75966581883837	0	2
4121	4140	JAX00250174	UNC643528	20	50295786	50586920	chr1	1.90003058975984	0	2
4141	4160	JAX00003553	JAX00003577	20	50594847	50939202	chr1	2.12525873909126	0	2
4161	4180	JAX00003578	JAX00250311	20	50939267	51151906	chr1	2.60703186512273	0	2
4181	4200	JAX00250312	UNC653383	20	51154298	51299180	chr1	2.52343938700664	0	2
4201	4220	JAX00250369	JAX00250405	20	51315462	51464485	chr1	1.83415457074141	0	2
4221	4240	JAX00250406	JAX00250435	20	51464578	51590600	chr1	1.80291642127095	0	2
4241	4260	JAX00250437	UNC658850	20	51595982	51714316	chr1	1.54144046995998	0	2
4261	4280	JAX00003639	JAX00003646	20	51726997	51849214	chr1	1.4094276647348	0	2
4281	4300	JAX00250534	JAX00003654	20	51852461	51947557	chr1	1.30315855852926	0	2
4301	4320	JAX00250573	JAX00250618	20	51952563	52068374	chr1	1.23653198927976	0	2
4321	4340	JAX00250624	UNC667141	20	52076008	52184251	chr1	1.22514105655393	0	2
4341	4360	JAX00250656	JAX00250699	20	52189564	52327247	chr1	1.20739899714848	0	2
4361	4380	JAX00250701	JAX00250742	20	52328602	52481775	chr1	1.19322559333269	0	2
4381	4400	JAX00250743	UNC672230	20	52484176	52585228	chr1	1.17399382129286	0	2
4401	4420	JAX00250780	JAX00191698	20	52593892	52716799	chr1	0.868722127168796	0	2
4421	4440	UNC674249	JAX00250881	20	52717897	52965832	chr1	0.772536719081216	0	2
4441	4460	UNC677810	JAX00250912	20	52967901	53068244	chr1	0.773796047043886	0	2
4461	4480	JAX00003739	UNC681990	20	53091392	53356247	chr1	0.764602391700661	0	2
4481	4500	JAX00250964	JAX00251051	20	53356970	53813227	chr1	0.746251796220961	0	2
4501	4520	JAX00251055	JAX00251091	20	53845960	53961323	chr1	0.775549412078034	0	2
4521	4540	JAX00251092	UNC691648	20	53961472	54255170	chr1	0.723954891506618	0	2
4541	4560	JAX00003829	UNC694544	20	54274523	54504118	chr1	0.702934918753848	0	2
4561	4580	JAX00251173	JAX00003863	20	54505399	54724859	chr1	0.685929400836863	0	2
4581	4600	JAX00251226	JAX00191741	20	54725363	54826491	chr1	0.676277383642064	0	2
4601	4620	JAX00003873	JAX00251318	20	54850326	54934829	chr1	0.630129166617128	0	2
4621	4640	JAX00251320	JAX00251389	20	54955500	55279216	chr1	0.608086034210756	0	2
4641	4660	UNC705778	JAX00003921	20	55299497	55511621	chr1	0.607306624624695	0	2
4661	4680	UNC707616	JAX00251488	20	55517416	55709875	chr1	0.604250106866303	0	2
4681	4700	JAX00251489	UNC712273	20	55710796	55822831	chr1	0.592132894230655	0	2
4701	4720	JAX00003947	JAX00251594	20	55860075	55996468	chr1	0.592151657164779	0	2
4721	4740	JAX00251596	JAX00003975	20	55997684	56225427	chr1	0.592076061261432	0	2
4741	4760	JAX00251650	JAX00003990	20	56242871	56417978	chr1	0.590760564862446	0	2
4761	4780	UNC010729195	JAX00251752	20	56428647	56606748	chr1	0.577200322846721	0	2
4781	4800	JAX00251753	JAX00004018	20	56615257	56793551	chr1	0.577019588297919	0	2
4801	4820	JAX00251797	JAX00251852	20	56800843	56999465	chr1	0.560065368004901	0	2
4821	4840	backupUNC012316368	JAX00251888	20	57001168	57185299	chr1	0.612027082358252	0	2
4841	4860	JAX00251890	UNC010731340	20	57186046	57415420	chr1	0.628068746556713	0	2
4861	4880	JAX00191800	JAX00251979	20	57418523	57615336	chr1	0.826163469965491	0	2
4881	4900	JAX00004078	UNC733960	20	57615846	57735724	chr1	0.891336648246473	0	2
4901	4920	JAX00004092	JAX00252051	20	57774166	57974992	chr1	0.901957218252472	0	2
4921	4940	JAX00252053	JAX00252097	20	57977395	58227689	chr1	0.892269696271399	0	2
4941	4960	JAX00252101	JAX00004131	20	58236518	58297315	chr1	0.8917457662022	0	2
4961	4980	JAX00191815	JAX00004145	20	58324446	58506215	chr1	0.88281161009322	0	2
4981	5000	JAX00252169	JAX00252196	20	58506542	58673708	chr1	0.875369020982882	0	2
5001	5020	UNC746854	JAX00252247	20	58784987	59044207	chr1	0.82904958699382	0	2
5021	5040	JAX00004189	JAX00004202	20	59078431	59240364	chr1	0.484528354358584	0	2
5041	5060	UNC751654	JAX00191840	20	59245541	59401604	chr1	0.795104202132099	0	2
5061	5080	JAX00004214	JAX00252404	20	59414487	59496154	chr1	0.866473509907157	0	2
5081	5100	JAX00252405	JAX00004241	20	59501093	59780022	chr1	0.559543662983307	0	2
5101	5120	JAX00252465	JAX00252497	20	59805686	60024065	chr1	0.535916881325216	0	2
5121	5140	B6_rs3659238	JAX00252519	20	60046978	60241011	chr1	0.516446732032288	0	2
5141	5160	JAX00252521	JAX00004292	20	60256635	60441421	chr1	0.547192367761531	0	2
5161	5180	backupJAX00004293	JAX00252601	20	60441494	60673461	chr1	0.546041730589891	0	2
5181	5200	JAX00004309	JAX00252642	20	60673824	60916315	chr1	0.540134300142593	0	2
5201	5220	UNC771487	JAX00252702	20	60936977	61165787	chr1	0.535677346357764	0	2
5221	5240	UNC774504	JAX00004360	20	61184345	61368274	chr1	0.637020880724981	0	2
5241	5260	UNC776673	JAX00252791	20	61373519	61606448	chr1	0.573735160292628	0	2
5261	5280	JAX00004378	JAX00252821	20	61609576	61788884	chr1	0.838872362953973	0	2
5281	5300	JAX00252822	JAX00004414	20	61790117	62091075	chr1	1.18601660453477	0	2
5301	5320	JAX00252865	UNC787219	20	62112614	62377587	chr1	1.12929067180427	0	2
5321	5340	backupUNC010739171	JAX00252933	20	62387583	62660493	chr1	0.95265886781354	0	2
5341	5360	JAX00004458	JAX00004467	20	62661425	62772488	chr1	0.461616109392268	0	2
5361	5380	JAX00252953	UNC793417	20	62788218	62964123	chr1	0.400900521971766	0	2
5381	5400	UNC793779	JAX00004502	20	62993822	63253832	chr1	0.439543777702044	0	2
5401	5420	JAX00253027	JAX00004520	20	63284903	63499605	chr1	0.518318877310458	0	2
5421	5440	UNC010104462	JAX00191937	20	63505054	63750621	chr1	0.779493364656774	0	2
5441	5460	UNC801098	UNC010486741	20	63774007	64043833	chr1	0.80859976665922	0	2
5461	5480	JAX00253171	JAX00253207	20	64046058	64158503	chr1	0.827202719094452	0	2
5481	5500	JAX00253211	JAX00253241	20	64183849	64320423	chr1	0.852954644244635	0	2
5501	5520	JAX00004582	UNC809041	20	64334183	64515184	chr1	0.903779111572854	0	2
5521	5540	JAX00004599	JAX00253315	20	64550813	64699289	chr1	0.978311469276243	0	2
5541	5560	UNC010106429	JAX00253348	20	64704407	64924557	chr1	1.03529494068779	0	2
5561	5580	UNC813782	JAX00253405	20	64926042	65186023	chr1	1.06998530205914	0	2
5581	5600	UNC817280	JAX00253461	20	65191919	65332226	chr1	1.11439531467248	0	2
5601	5620	JAX00004659	UNC822740	20	65334144	65637894	chr1	1.12386803928734	0	2
5621	5640	JAX00253508	JAX00253537	20	65679605	65947573	chr1	1.06076305574103	0	2
5641	5660	UNC827494	JAX00253574	20	65950222	66176936	chr1	1.03066828501573	0	2
5661	5680	JAX00253576	UNC833920	20	66181125	66402351	chr1	1.02230846278391	0	2
5681	5700	JAX00253612	JAX00253650	20	66402884	66558275	chr1	0.909308231438922	0	2
5701	5720	JAX00004751	UNC838814	20	66573573	66780481	chr1	0.902400827846685	0	2
5721	5740	JAX00253687	JAX00004780	20	66796030	66973093	chr1	0.899450848928104	0	2
5741	5760	UNC842284	JAX00004791	20	66990126	67123786	chr1	0.90062507738593	0	2
5761	5780	UNC844929	JAX00253810	20	67160047	67481037	chr1	0.90233663088192	0	2
5781	5800	JAX00253811	JAX00253847	20	67484882	67710918	chr1	0.904685935022171	0	2
5801	5820	JAX00253848	JAX00253874	20	67711209	67972619	chr1	0.906797840897435	0	2
5821	5840	JAX00004854	JAX00253920	20	67975690	68167465	chr1	0.908767481858794	0	2
5841	5860	JAX00253921	JAX00253945	20	68167580	68346024	chr1	0.910374128217725	0	2
5861	5880	JAX00253950	JAX00004902	20	68386005	68618707	chr1	1.00332670803183	0	2
5881	5900	JAX00253983	JAX00254017	20	68638494	68822445	chr1	1.02394381930756	0	2
5901	5920	JAX00254019	JAX00004933	20	68826711	69026603	chr1	1.03493227665664	0	2
5921	5940	JAX00254064	JAX00004952	20	69032683	69296439	chr1	1.04789941405729	0	2
5941	5960	JAX00004953	JAX00254134	20	69296951	69549186	chr1	1.05502790640847	0	2
5961	5980	JAX00254137	JAX00004988	20	69554675	69764472	chr1	1.05909033662682	0	2
5981	6000	JAX00254181	UNC884363	20	69767857	70088393	chr1	1.07410235436986	0	2
6001	6020	JAX00192012	JAX00005033	20	70106093	70373824	chr1	1.02667465493808	0	2
6021	6040	UNC888180	JAX00192030	20	70374629	70620028	chr1	1.04178653628594	0	2
6041	6060	JAX00254319	UNC894416	20	70638760	70824085	chr1	1.03064179564078	0	2
6061	6080	UNC894537	UNC896379	20	70837533	70987330	chr1	1.0811655808613	0	2
6081	6100	JAX00254367	JAX00254389	20	71002593	71143924	chr1	1.0823618050897	0	2
6101	6120	UNC898113	JAX00254414	20	71150125	71305595	chr1	1.08339253969487	0	2
